id,annotator,x,y,z
T4_001,joseph,1.34,0.85,0.42
T4_001,waleed,1.49,0.60,0.42
T4_001,aditya,1.45,0.73,0.42
T4_002,joseph,1.34,0.85,0.42
T4_002,waleed,1.19,0.60,0.42
T4_002,aditya,1.25,0.70,0.42
T4_003,joseph,1.28,0.85,0.42
T4_003,waleed,1.49,0.90,0.42
T4_003,aditya,1.40,0.88,0.42
T4_004,joseph,1.44,0.77,0.42
T4_004,waleed,1.49,0.62,0.42
T4_004,aditya,1.47,0.68,0.42
T4_005,joseph,1.25,0.76,0.42
T4_005,waleed,1.19,0.88,0.42
T4_005,aditya,1.22,0.83,0.42
T4_006,joseph,1.31,0.86,0.42
T4_006,waleed,1.49,0.75,0.42
T4_006,aditya,1.47,0.78,0.42
T4_007,joseph,1.31,0.86,0.42
T4_007,waleed,1.49,0.75,0.42
T4_007,aditya,1.48,0.72,0.42
T4_008,joseph,1.31,0.86,0.42
T4_008,waleed,1.49,0.75,0.42
T4_008,aditya,1.48,0.78,0.42
T4_009,joseph,1.44,0.86,0.42
T4_009,waleed,1.49,0.75,0.42
T4_009,aditya,1.47,0.80,0.42
T4_010,joseph,1.34,0.88,0.42
T4_010,waleed,1.49,0.75,0.42
T4_010,aditya,1.49,0.78,0.42
T4_011,joseph,1.43,0.74,0.42
T4_011,waleed,1.19,0.62,0.42
T4_011,aditya,1.30,0.65,0.42
T4_012,joseph,1.43,0.65,0.42
T4_012,waleed,1.49,0.62,0.42
T4_012,aditya,1.46,0.63,0.42
T4_013,joseph,1.44,0.84,0.42
T4_013,waleed,1.19,0.62,0.42
T4_013,aditya,1.30,0.85,0.42
T4_014,joseph,1.45,0.63,0.42
T4_014,waleed,1.19,0.60,0.42
T4_014,aditya,1.32,0.62,0.42
T4_015,joseph,1.24,0.73,0.42
T4_015,waleed,1.49,0.60,0.42
T4_015,aditya,1.35,0.65,0.42
T4_016,joseph,1.45,0.75,0.42
T4_016,waleed,1.34,0.60,0.42
T4_016,aditya,1.30,0.62,0.42
T4_017,joseph,1.45,0.75,0.42
T4_017,waleed,1.34,0.60,0.42
T4_017,aditya,1.40,0.62,0.42
T4_018,joseph,1.24,0.79,0.42
T4_018,waleed,1.34,0.60,0.42
T4_018,aditya,1.30,0.62,0.42
T4_019,joseph,1.49,0.74,0.42
T4_019,waleed,1.34,0.90,0.42
T4_019,aditya,1.40,0.88,0.42
T4_020,joseph,1.49,0.74,0.42
T4_020,waleed,1.19,0.75,0.42
T4_020,aditya,1.34,0.62,0.42
